Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,Delivery_Zone,Distance_km,Partner_Type,Fuel_Cost,Partner_Payout,Delivery_Time_min
Fruits & Vegetables,Onion,2500,16,3,2100,1000,False,1,West,6.67,Walker,0.0,18.34,61.4
Fruits & Vegetables,Tomato Hybrid,4200,16,3,3500,1000,False,1,Central,4.61,Walker,0.0,14.22,43.0
Fruits & Vegetables,Tender Coconut,5100,15,3,4300,58,False,1,East,1.34,Rider,1.61,16.7,5.1
Fruits & Vegetables,Coriander Leaves,2000,15,3,1700,100,False,100,Central,4.14,Rider,4.97,30.7,19.9
Fruits & Vegetables,Ladies Finger ,1400,14,3,1200,250,False,250,Central,5.57,Cycle,0.0,21.71,35.0
Fruits & Vegetables,Potato,3500,17,3,2900,1000,False,1,South,5.11,Cycle,0.0,20.33,33.4
Fruits & Vegetables,Lemon,7500,16,3,6300,200,False,200,East,1.62,Cycle,0.0,9.86,9.3
Fruits & Vegetables,Watermelon ,5800,15,3,4900,58,False,1,East,6.82,Cycle,0.0,25.46,47.2
Fruits & Vegetables,Capsicum Green ,2300,17,3,1900,250,False,250,East,3.42,Cycle,0.0,15.26,22.7
Fruits & Vegetables,Chilli Green ,1900,15,3,1600,100,False,100,Central,1.53,Rider,1.84,17.65,7.2
Fruits & Vegetables,Banana Robusta,2900,17,3,2400,348,False,6,West,1.67,Rider,2.0,18.35,5.6
Fruits & Vegetables,Garlic Indian ,1100,18,3,900,100,False,100,East,1.14,Walker,0.0,7.28,9.7
Fruits & Vegetables,Cauliflower,2600,15,3,2200,58,False,1,Central,5.72,Walker,0.0,16.44,49.0
Fruits & Vegetables,Ginger,1400,14,3,1200,200,False,200,South,1.29,Walker,0.0,7.58,11.0
Fruits & Vegetables,Spinach,1900,15,3,1600,250,False,250,West,1.31,Walker,0.0,7.62,12.7
Fruits & Vegetables,Muskmelon,4200,16,3,3500,58,False,1,South,6.03,Rider,7.24,40.15,18.5
Fruits & Vegetables,Cabbage ,1500,13,3,1300,58,False,1,West,2.74,Rider,3.29,23.7,8.6
Fruits & Vegetables,Methi,3000,16,3,2500,250,False,250,Central,0.7,Rider,0.84,13.5,2.5
Fruits & Vegetables,Broccoli,3600,16,3,3000,500,False,500,North,0.84,Cycle,0.0,7.52,4.5
Fruits & Vegetables,Sapota,3000,16,3,2500,348,False,6,West,1.42,Cycle,0.0,9.26,7.8
Fruits & Vegetables,Onion,6800,16,3,5700,3000,False,3,South,1.89,Walker,0.0,8.78,18.1
Fruits & Vegetables,Potato,10000,16,3,8400,3000,False,3,Central,4.82,Cycle,0.0,19.46,29.5
Fruits & Vegetables,Orange Nagpur,8200,15,3,6900,232,False,4,West,1.52,Rider,1.82,17.6,4.6
Fruits & Vegetables,Mint Leaves ,1100,18,3,900,100,False,100,North,1.27,Walker,0.0,7.54,11.3
Fruits & Vegetables,Beans French,3300,15,3,2800,250,False,250,North,5.47,Walker,0.0,15.94,48.2
Fruits & Vegetables,Bottle Gourd ,2600,15,3,2200,58,False,1,East,4.86,Cycle,0.0,19.58,25.4
Fruits & Vegetables,Banana Elaichi ,5800,15,3,4900,348,False,6,East,3.33,Walker,0.0,11.66,31.1
Fruits & Vegetables,Coconut Big,3600,16,3,3000,58,False,1,South,4.07,Cycle,0.0,17.21,26.1
Fruits & Vegetables,Curry Leaves,1300,15,3,1100,50,False,50,West,2.53,Cycle,0.0,12.59,16.3
Fruits & Vegetables,Brinjal Bharta,1900,15,3,1600,58,False,1,West,3.64,Walker,0.0,12.28,34.4
Fruits & Vegetables,Lettuce Iceberg,2500,16,3,2100,250,False,250,East,3.79,Cycle,0.0,16.37,19.0
Fruits & Vegetables,Papaya,5400,16,3,4500,58,False,1,West,3.02,Cycle,0.0,14.06,20.9
Fruits & Vegetables,Apple Shimla,14200,16,3,11900,232,False,4,West,6.39,Cycle,0.0,24.17,42.4
Fruits & Vegetables,Bitter Gourd,1800,16,3,1500,250,False,250,North,0.6,Cycle,0.0,6.8,4.1
Fruits & Vegetables,Brinjal Small,1800,16,3,1500,250,False,250,East,5.58,Walker,0.0,16.16,44.8
Fruits & Vegetables,Sweet Corn,3600,16,3,3000,116,False,2,Central,1.31,Rider,1.57,16.55,6.4
Fruits & Vegetables,Spring Onion ,1800,16,3,1500,250,False,250,East,5.68,Rider,6.82,38.4,26.2
Fruits & Vegetables,Bell Peppers Red & Yellow ,11800,16,3,9900,116,False,2,Central,4.5,Cycle,0.0,18.5,30.0
Fruits & Vegetables,Pomegranate ,10600,16,3,8900,116,False,2,North,5.98,Cycle,0.0,22.94,31.0
Fruits & Vegetables,Sweet Lime,3000,16,3,2500,116,False,2,South,1.13,Cycle,0.0,8.39,7.3
Fruits & Vegetables,Baby Potato,1900,15,3,1600,500,False,500,West,4.13,Rider,4.96,30.65,20.3
Fruits & Vegetables,Coccinia,3200,15,3,2700,250,False,250,North,3.76,Cycle,0.0,16.28,23.9
Fruits & Vegetables,Guava,5400,16,3,4500,232,False,4,West,5.09,Walker,0.0,15.18,46.5
Fruits & Vegetables,Apple Washington,17700,15,3,14900,232,False,4,South,3.97,Walker,0.0,12.94,39.3
Fruits & Vegetables,Amla,3200,15,3,2700,250,False,250,South,4.01,Walker,0.0,13.02,35.6
Fruits & Vegetables,Beans Cluster,3000,16,3,2500,250,False,250,North,3.29,Rider,3.95,26.45,13.8
Fruits & Vegetables,Apple Royal Gala,18900,15,3,15900,232,False,4,South,2.51,Cycle,0.0,12.53,14.9
Fruits & Vegetables,Chilli Bhaji,3000,16,3,2500,250,False,250,Central,3.63,Cycle,0.0,15.89,24.9
Fruits & Vegetables,Lettuce Green,2300,17,3,1900,100,False,100,South,1.27,Cycle,0.0,8.81,6.5
Fruits & Vegetables,Baby Corn Peeled,3500,17,3,2900,250,False,250,West,6.75,Rider,8.1,43.75,27.0
Fruits & Vegetables,Mixed Sprouts,3500,17,3,2900,200,False,200,West,5.14,Rider,6.17,35.7,22.5
Fruits & Vegetables,Zucchini Green,3500,17,3,2900,250,False,250,West,6.69,Rider,8.03,43.45,30.7
Fruits & Vegetables,Beans Broad,4200,16,3,3500,250,False,250,West,1.97,Rider,2.36,19.85,8.2
Fruits & Vegetables,Raw Banana,2000,15,6,1700,500,False,500,Central,6.22,Walker,0.0,17.44,61.1
Fruits & Vegetables,Colocasia ,2900,17,6,2400,500,False,500,East,5.76,Rider,6.91,38.8,28.1
